,tweet,tweetP,Category
39,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame,neutral
40,"Story time:my baby is army confirmed.So. I woke up early today. And usually I a can feel my baby movements,but to day even after an hour of waking up I couldn't feel any movements, and I panicked. Drank some warm water..no use Ate some candy ..no use, walked,, nothing happened",Story time my baby is army confirmed So I woke up early today And usually I a can feel my baby movements but to day even after an hour of waking up I couldn t feel any movements and I panicked Drank some warm water no use Ate some candy no use walked nothing happened,positive
41,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
42,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame,neutral
43,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER,positive
44,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
45,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
46,"1/n Maturity of markets change. Make sure your filters do too. Overlook started off allergic to investing in China in the 80’s. They changed their mind in the 90’s when they found high quality (See’s candy-esque) businesses (Kingboard, Weigao). China is now 55% of AUM.",1 n Maturity of markets change Make sure your filters do too Overlook started off allergic to investing in China in the 80 s They changed their mind in the 90 s when they found high quality See s candy esque businesses Kingboard Weigao China is now 55 of AUM,positive
47,Day 8 of our #ElfMovie #AdventCalendar.Today’s piece: One third of a candy cane!#countdowntochristmas #buddytheelf https://t.co/86O9PoiXU6,Day 8 of our ElfMovie AdventCalendar Today s piece One third of a candy cane countdowntochristmas buddytheelf,neutral
48,From sure-to-please things like candy and cozy robes to heart-tugging finds like personalized puzzles and relationship journals. https://t.co/qwJH5tGd1N,From sure to please things like candy and cozy robes to heart tugging finds like personalized puzzles and relationship journals,positive
49,winrina / jiminjeong one shot auCandy https://t.co/snrUWbyogm,winrina jiminjeong one shot auCandy,neutral
50,Gotra cannot be distributed as freely as candy. Bengali Brahmin surnames aren't your personal property.Swami Vivekananda mentions in the rules of RKM (which he framed) that Muslims and Christians shd be converted to Hinduism but immediate upanayan samskaras aren't required. https://t.co/zn1T2Fzweg https://t.co/Z3UPxT8TrB,Gotra cannot be distributed as freely as candy Bengali Brahmin surnames aren t your personal property Swami Vivekananda mentions in the rules of RKM which he framed that Muslims and Christians shd be converted to Hinduism but immediate upanayan samskaras aren t required,positive
51,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
52,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
53,Your Kids will love this great candy themed craft https://t.co/xOBoqu2TdM #playdough #candy #homecraft #home,Your Kids will love this great candy themed craft playdough candy homecraft home,positive
54,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
55,"Thanks to the bbhls ONLY to be always so reactive and organized, we can really count on them to defend Baekhyun",Thanks to the bbhls ONLY to be always so reactive and organized we can really count on them to defend Baekhyun,positive
56,TRINITY 1ST FULL ALBUM - EP.01 BREATHLIFE AIN'T OVER | JACKIE - PHOTO CONCEPT #04OFFICIAL M/V RELEASE ON 9 DECEMBER 2021 | 7 PM  YOUTUBE : 4NOLOGUE#LifeAintOver_TEASER#TRINITY_EP01BREATH#TRINITY1stFullAlbum#TRINITY_TNT#4NOLOGUE https://t.co/Ic9Y1P0gPe,TRINITY 1ST FULL ALBUM EP 01 BREATHLIFE AIN T OVER JACKIE PHOTO CONCEPT 04OFFICIAL M V RELEASE ON 9 DECEMBER 2021 7 PM YOUTUBE 4NOLOGUE LifeAintOver TEASER TRINITY EP01BREATH TRINITY1stFullAlbum TRINITY TNT 4NOLOGUE,positive
57,I Can Be Mean As Fuck. Sweet As Candy. Cold As Water. Evil As Hell Or Loyal As Shoulder. It All Depends On You.TEJRAN SLAYING TOGETHER,I Can Be Mean As Fuck Sweet As Candy Cold As Water Evil As Hell Or Loyal As Shoulder It All Depends On You TEJRAN SLAYING TOGETHER,negative
58,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
59,hey? hey devsis? what the actual fuck. WHY DID YOU CHANGE STORY MODE IT WAS LITERALLY THE ONLY WAY TO GET SOME COOKIES CANDY INGREDIENTS. ?!?!? https://t.co/GyTopWG0ZO,hey hey devsis what the actual fuck WHY DID YOU CHANGE STORY MODE IT WAS LITERALLY THE ONLY WAY TO GET SOME COOKIES CANDY INGREDIENTS,negative
60,"Later today on Instagram, our @Cfulvio will be sharing her recipe &amp; method for this festive Candy Cane Carprese Platter to share🎄🎄Check out her Instagram here: https://t.co/SJgDqAFyAI#catherineschristmasrecipes #candycanecarprese #carpreseplatter #mozzarella #tomato https://t.co/JyV1DES2ZT",Later today on Instagram our will be sharing her recipe amp method for this festive Candy Cane Carprese Platter to share Check out her Instagram here candycanecarprese carpreseplatter mozzarella tomato,neutral
61,"Salon System nail expert Julie-Anne Larivière, has created this Candy Cane nail design just in time for Christmas.https://t.co/fWD1Jgfxbd#warpaint_mag #WarpaintExtra #NailArt #StepByStep #Manicure #Gellux #SalonSystem #HomeManicure #christmas #ChristmasNails #NailArtistry https://t.co/o9iFU8xcVx",Salon System nail expert Julie Anne Larivi re has created this Candy Cane nail design just in time for Christmas WarpaintExtra NailArt StepByStep Manicure Gellux SalonSystem HomeManicure christmas ChristmasNails NailArtistry,neutral
62,"Candy Store Original Mix Cajua, 100% Of Dissin U, Joint Movement Project - Find A Love -REMASTERED- BC Exclusive - 04 Find A Love (Spencer Kincy Tribute Mix).wav all coming up this hour on https://t.co/zxcC0yMFnd",Candy Store Original Mix Cajua 100 Of Dissin U Joint Movement Project Find A Love REMASTERED BC Exclusive 04 Find A Love Spencer Kincy Tribute Mix wav all coming up this hour on,positive
63,The one where songhwa’s eyes gushed out candy hearts. 😍(also the one where i find out i’m in this for life. Oh this Canon ep 🥺❤️‍🔥) https://t.co/SDTKjJzd3H,The one where songhwa s eyes gushed out candy hearts also the one where i find out i m in this for life Oh this Canon ep,neutral
64,new seasonal items have been listed! 💕❄️look extra festive this christmas with candy canes on your ears and cookies on your head (´▽`ʃƪ)♡link to my shop is in my bio! 💓 https://t.co/WFwR0xYxx1,new seasonal items have been listed look extra festive this christmas with candy canes on your ears and cookies on your head link to my shop is in my bio,positive
65,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
66,"Kirarin looooves all sweet things, like candy, cakes, and cookies..... and the sweetest of all, you~!",Kirarin looooves all sweet things like candy cakes and cookies and the sweetest of all you,positive
67,New photos update https://t.co/3fqRERCbvs,New photos update,positive
68,"This Saturday, Clockwork Aeroplane, @oxbowlakemusic and Candy Mountain bring three boisterous sets of unique, original and acoustic music to our ears. £5 on the door. Don't miss it! 🎸👉 https://t.co/Rbjr4a48wG https://t.co/8iItWKwmK5",This Saturday Clockwork Aeroplane and Candy Mountain bring three boisterous sets of unique original and acoustic music to our ears 5 on the door Don t miss it,positive
69,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
70,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
71,Elf &amp; Safety is extremely important for Viktor’s usual role in Candy Cane manufacturing.This week he has been assisting our qualified First Aiders in making sure our accident procedure and First Aid kits are ready in the unlikely event of an emergency. #ViktorTheVolspecElf https://t.co/Q0qyMj8ajb,Elf amp Safety is extremely important for Viktor s usual role in Candy Cane manufacturing This week he has been assisting our qualified First Aiders in making sure our accident procedure and First Aid kits are ready in the unlikely event of an emergency ViktorTheVolspecElf,positive
72,so far the past 2 days I havemissed yesterday's shiftwoke up latehave an overload of customersso many little things went wrong.almost freaked out w a party of 6 customerssame party wanted a bday thing for a member: we don't do that there.my dog ate a mini candy tonight,so far the past 2 days I havemissed yesterday s shiftwoke up latehave an overload of customersso many little things went wrong almost freaked out w a party of 6 customerssame party wanted a bday thing for a member we don t do that there my dog ate a mini candy tonight,negative
73,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame,neutral
74,I Can Be Mean As Fuck. Sweet As Candy. Cold As Water. Evil As Hell Or Loyal As Shoulder. It All Depends On You.TEJRAN SLAYING TOGETHER,I Can Be Mean As Fuck Sweet As Candy Cold As Water Evil As Hell Or Loyal As Shoulder It All Depends On You TEJRAN SLAYING TOGETHER,negative
75,"Owen brought the candy apple to his lips as if to kiss it.Startled, Mithra’s breath caught in his throat.",Owen brought the candy apple to his lips as if to kiss it Startled Mithra s breath caught in his throat,neutral
76,"Swedish Fish (Yes, The Candy) Is Simping For BTS’s Jinhttps://t.co/ZSh3CppOpW",Swedish Fish Yes The Candy Is Simping For BTS s,neutral
77,"""""""𝑫𝒂𝒚 3 """"""""𝑷𝒂𝒕𝒄𝒉𝒘𝒐𝒓𝒌""""""""Sweet like a candy 🍬🍭@Wharf_Ent @zepeto_official#WharfFashionChallenge #ZEPETO https://t.co/MQ6Li5gnuQ""""""",3 Sweet like a candy Ent official WharfFashionChallenge ZEPETO,positive
78,unbelievers is not a smut fic its about self acceptance and friendship and relationships and family issues and so much more but all yall talk abt is gold glitter and candy shop im so tired https://t.co/ufcsSZnbO0,unbelievers is not a smut fic its about self acceptance and friendship and relationships and family issues and so much more but all yall talk abt is gold glitter and candy shop im so tired,positive
79,"""""""🆘CODE RED🆘TBD THU 12/9/21🆘💓HIDING"," SCARED 2YO WHITE &amp; #TABBY KITTY """"""""CANDY""""""""💓😾💔DUMPED 4 BEING BULLIED BY OTHER CATS IN THE HOME🚨NEEDS #ADOPTION #RESCUE #FOSTER ASAP🚨🚨128966 https://t.co/R1ZFDA4OQr🙏🏽#ADOPT #PLEDGE #AdoptDontShop#BROOKLYN #NYCACC #CAT #CatsofTwitter https://t.co/Er6SQpY4O9""""""",negative
80,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
81,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
82,"""""""🆘CODE RED🆘TBD THU 12/9/21🆘💓HIDING"," SCARED 2YO WHITE &amp; #TABBY KITTY """"""""CANDY""""""""💓😾💔DUMPED 4 BEING BULLIED BY OTHER CATS IN THE HOME🚨NEEDS #ADOPTION #RESCUE #FOSTER ASAP🚨🚨128966 https://t.co/R1ZFDA4OQr🙏🏽#ADOPT #PLEDGE #AdoptDontShop#BROOKLYN #NYCACC #CAT #CatsofTwitter https://t.co/Er6SQpY4O9""""""",negative
83,yfw when as long as oberon eye candy exists nothing else mattersthis is fgo zen,yfw when as long as oberon eye candy exists nothing else mattersthis is fgo zen,negative
84,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
85,these pictures screams sour candy mv* @blackpink https://t.co/wCKxrxSXC7,these pictures screams sour candy mv,negative
86,I Can Be Mean As Fuck. Sweet As Candy. Cold As Water. Evil As Hell Or Loyal As Shoulder. It All Depends On You.TEJRAN SLAYING TOGETHER,I Can Be Mean As Fuck Sweet As Candy Cold As Water Evil As Hell Or Loyal As Shoulder It All Depends On You TEJRAN SLAYING TOGETHER,negative
87,"#FBSPHGO #TWICE[Pre-order] [Restock]▪TWICE CANDY BONG Z - PHP 2550ORDER FORM: https://t.co/HVwUvRhano 💸 Pay half of the price as you order💸 Balance: December 30, 2021 💯 Official from Korea and Sealed💯 with freebies from our shop📌Normal ETA https://t.co/dDQO0ZQz2a",FBSPHGO TWICE Pre order Restock TWICE CANDY BONG Z PHP 2550ORDER FORM Pay half of the price as you order Balance December 30 2021 Official from Korea and Sealed with freebies from our shop Normal ETA,negative
88,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
89,#Onmyoji I got a brand new rare skin! Check it out and try your luck!Lo primero es lo primero uwu https://t.co/ChJvAcmVc0,Onmyoji I got a brand new rare skin Check it out and try your luck Lo primero es lo primero uwu,positive
90,Do not forget to add sorrel gourmet compound in your baking list. To enjoy the smooth and intense flavour try it now..........https://t.co/ZOvZtX54cn#niceconfectionery #byebyebrand #candy #chocolate #lolipop #toffee  #chocolate #byebyebrand #chocolatelover #choco https://t.co/gTtW5TajHN,Do not forget to add sorrel gourmet compound in your baking list To enjoy the smooth and intense flavour try it now byebyebrand candy chocolate lolipop toffee chocolate byebyebrand chocolatelover choco,positive
91,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
92,Night City #Cyberpunk2077 https://t.co/YSfDKYx4Em,Night City Cyberpunk2077,neutral
93,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely,positive
94,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
95,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
96,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
97,Blooper using the Bowser Candy. https://t.co/FprgxNpz2X,Blooper using the Bowser Candy,neutral
98,ร้าน Sweet Day ขนมก็อร่อย และหนุ่มๆ ก็น่ารักDesserts from Sweet Day café are delish and the boys are eye candy too. 🍰🍪 SWEET DAY PIN | เข็มกลัด SWEET DAY https://t.co/tKmC7JUhmn#Bakerboys #GMMTV https://t.co/LdwaQnQPqc,Sweet Day Desserts from Sweet Day caf are delish and the boys are eye candy too SWEET DAY PIN SWEET DAY GMMTV,positive
99,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
100,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
101,I Can Be Mean As Fuck. Sweet As Candy. Cold As Water. Evil As Hell Or Loyal As Shoulder. It All Depends On You.TEJRAN SLAYING TOGETHER,I Can Be Mean As Fuck Sweet As Candy Cold As Water Evil As Hell Or Loyal As Shoulder It All Depends On You TEJRAN SLAYING TOGETHER,negative
102,I'm now really crying for the Candy reply😭Miss mewgulf so so so so badly🥺Hope to see them soon🙏🏻#MewGulf#หวานใจมิวกลัฟ https://t.co/NvWtpgas0G,I m now really crying for the Candy reply Miss mewgulf so so so so badly Hope to see them soon MewGulf,negative
103,"""""""Legalization = FAIL """"""""Our findings suggest that cannabis legalization is linked to increased exposures""",Legalization FAIL Our findings suggest that cannabis legalization is linked to increased exposures,negative
104,Scared of Omicron? Have a listen to how they’re creating something out of nothing ⬇️Full video in next tweet. https://t.co/bENclBFJT0,Scared of Omicron Have a listen to how they re creating something out of nothing Full video in next tweet,positive
105,Another win under the MCU belt! 🥇@LokiOfficial is #TheShow of 2021! #PCAs https://t.co/BhsDvqqdlx,Another win under the MCU belt is TheShow of 2021 PCAs,positive
106,"&gt; dalgonagendera gender connected to the traditional korean candy dalgona . this gender could be connected to squid game , but doesn't have to becoined by gender-merchant on tumblr!!//#xenogender #xenogenders #xenictwt #MOGAI// https://t.co/zLqhUy5fOi",gt dalgonagendera gender connected to the traditional korean candy dalgona this gender could be connected to squid game but doesn t have to becoined by gender merchant on tumblr xenogender xenogenders xenictwt MOGAI,negative
107,@pplR_fake Yr wo roi ki tarha jo candy hoti??? Jske packet me nakli note b dale hote??? Wo cotton candy usy kehte thy burhiya k bal,fake Yr wo roi ki tarha jo candy hoti Jske packet me nakli note b dale hote Wo cotton candy usy kehte thy burhiya k bal,negative
108,@DeosTomates a new tik tok candy i guess,a new tik tok candy i guess,positive
109,"Candy Crush brings in a reported $633,000 a day in revenue",Candy Crush brings in a reported 633 000 a day in revenue,neutral
110,@DeosTomates a new tik tok candy i guess,a new tik tok candy i guess,positive
111,Holy crap https://t.co/eBOI2NC1fD,Holy crap,negative
112,#JAEHYUN: she thinks she’s made of candy https://t.co/1d1eHBwH7x,JAEHYUN she thinks she s made of candy,neutral
113,I Can Be Mean As Fuck. Sweet As Candy. Cold As Water. Evil As Hell Or Loyal As Shoulder. It All Depends On You.TEJRAN SLAYING TOGETHER,I Can Be Mean As Fuck Sweet As Candy Cold As Water Evil As Hell Or Loyal As Shoulder It All Depends On You TEJRAN SLAYING TOGETHER,negative
114,""""""".@B_hundred_Hyun's """"""""Candy"""""""" ranks #1 on Deezer's Top South Korea chart. https://t.co/mKbhekRhzi""""""",hundred Hyun s Candy ranks 1 on Deezer s Top South Korea chart,positive
115,My drawing feels like a memory https://t.co/O20Ef2Tdpf,My drawing feels like a memory,neutral
116,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
117,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
118,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
119,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
120,"My bank account and my taste don’t match, and it really upsets me.",My bank account and my taste don t match and it really upsets me,positive
121,Heart Shaker so my Candy Pop! #MAMAVOTE #twice,Heart Shaker so my Candy Pop MAMAVOTE twice,neutral
122,Holiday Dress #candycanes #bows #holidays #red #supercute #giftsforher #giftshop #RBandME #findyourthing #peppermint https://t.co/mNP98fIVwu,Holiday Dress candycanes bows holidays red supercute giftsforher giftshop RBandME findyourthing peppermint,neutral
123,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
124,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy,neutral
125,"Lollipops are pretty much the best thing ever. The candy tastes awesome, but also, it looks really cool just having a stick hanging out of your mouth. It gives me, like... a real punk kind of vibe. Here, you try it!",Lollipops are pretty much the best thing ever The candy tastes awesome but also it looks really cool just having a stick hanging out of your mouth It gives me like a real punk kind of vibe Here you try it,positive
