,username,tweet,tweetP
0,Gilly_805,@pussyslayer314 All they know is play candy crush and be racist on facebook,All they know is play candy crush and be racist on facebook
1,llrbbh,candy♡ https://t.co/cYVTUEdYWd,candy
2,anamikash009,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER
3,greytoru,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame
4,taekookplus,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
5,ultsthv,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
6,vantaekoobear,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
7,VEXIKKU,Another Candy Cane #TextileDesign https://t.co/VMkJStOGG6,Another Candy Cane TextileDesign
8,AljawharahMans1,@MaherEbsi @maalbarakati The Cambridge Dictionary of American Idioms says “like taking candy from a baby” means “extremely easy.”,The Cambridge Dictionary of American Idioms says like taking candy from a baby means extremely easy
9,BotObject,Sushi said Lucario x Cotton Candy is bad!,Sushi said Lucario x Cotton Candy is bad
10,ShadakshariGow3,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER
11,vantegohg,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
12,younas_eman,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
13,dearleesujeong,141207 Candy Jelly Love 💙▶️ https://t.co/lHhvZA8Dvb#LOVELYZ #러블리즈 #BABYSOUL #베이비소울 #LEESUJEONG #이수정 @Official_LVLZ @LEESUJEONG https://t.co/CjnI7QjWGP,141207 Candy Jelly Love BABYSOUL LEESUJEONG LVLZ
14,winssscityx,🔥 $100K $MMR Sweet Candy Airdrop launched🍭👇$10 $MMR ✅ Follow &amp; reweet✅ Follow telegram group &amp; channel✅ Referral: $3 $MMR Distribution after 1 week end🎉Start here: https://t.co/pavK89lPJuTutorial check: https://t.co/zaIIOgo0yw #airdrop #Giveaways #MMRS,100K MMR Sweet Candy Airdrop launched 10 MMR Follow amp reweet Follow telegram group amp channel Referral 3 MMR Distribution after 1 week end Start here check airdrop Giveaways MMRS
15,bot_nutty,NO ONE ALLOWED TO TOUCH MY CANDY D:,NO ONE ALLOWED TO TOUCH MY CANDY D
16,botshevic,"if neither cities if lab, those cloud as sake, whether against whence, tarn, proper movies, industrial foreheads, himself it's children? Of before every prose indians below free-born carts, though for drench, o along behold candy.",if neither cities if lab those cloud as sake whether against whence tarn proper movies industrial foreheads himself it s children Of before every prose indians below free born carts though for drench o along behold candy
17,maytrixks,Cerulean Candy Canes skins for @froubery @theawesamdude @vGumiho and @Ryguyrocky!!HBomb sweater 🙌#ceruleancandycanes #mccfanart #MCCSkins #awesamdudefanart #fruitberriesfanart #gumihofanart #ryguyrockyfanart https://t.co/dbyjgZ8Est,Cerulean Candy Canes skins for and HBomb sweater ceruleancandycanes mccfanart MCCSkins awesamdudefanart fruitberriesfanart gumihofanart ryguyrockyfanart
18,komali_kuncham,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER
19,litoltaee,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
20,RealBrownViking,@Candy_woof Smol cute friendly sleepy,woof Smol cute friendly sleepy
21,my_thv,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
22,candy_koa1a,SHE IS SO PRETTY https://t.co/yZ2Ckag8es,SHE IS SO PRETTY
23,fluxfm_berlin,"""08.12. 11:03 Uhr: Marcy Playground """"Sex &amp; Candy""""""",08 12 11 03 Uhr Marcy Playground Sex amp Candy
24,printgarageiain,Deep In It Limited edition screen printEdition of 1842 X 29.7cm5 colours on Candy Pink GF Smith paper.£45 plus postagehttps://t.co/BcadgkKCld https://t.co/cHtQmL45lb,Deep In It Limited edition screen printEdition of 1842 X 29 7cm5 colours on Candy Pink GF Smith paper 45 plus
25,Nicxs77,"@KrissyPeterssen I just buy brown paper from any shop, Checkers, PnP, stationer. I prefer the matte brown paper, as you can also get a slightly shiny one. Add a little greenery, some twine and maybe a candy cane. (Really not a great photo though) https://t.co/K9KLoFYvFZ",I just buy brown paper from any shop Checkers PnP stationer I prefer the matte brown paper as you can also get a slightly shiny one Add a little greenery some twine and maybe a candy cane Really not a great photo though
26,ArthurMorganP15,@NaconFR @POCOFrance Candy Crush 🤞🍀,Candy Crush
27,PurpleLifeBTS,"Story time:my baby is army confirmed.So. I woke up early today. And usually I a can feel my baby movements,but to day even after an hour of waking up I couldn't feel any movements, and I panicked. Drank some warm water..no use Ate some candy ..no use, walked,, nothing happened",Story time my baby is army confirmed So I woke up early today And usually I a can feel my baby movements but to day even after an hour of waking up I couldn t feel any movements and I panicked Drank some warm water no use Ate some candy no use walked nothing happened
28,Michele99103479,"@FeCrypto @Sik_wit_it_jive @rikoruss31 @thehill She's arm candy and damn cut down the makeup. Her eye makeup gets any heavier she's gonna need a man to let her know what she's looking towards. Come on, the smoky eye is a nice look but her eyes are ready to actually smoke. Anything to hide AGING GRACEFULLY.",wit it jive She s arm candy and damn cut down the makeup Her eye makeup gets any heavier she s gonna need a man to let her know what she s looking towards Come on the smoky eye is a nice look but her eyes are ready to actually smoke Anything to hide AGING GRACEFULLY
29,TejRan77528945,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER
30,themecoles,"Stanhope, I was outside with the St*ja girl , and we had this long ass good talk about just I guess our insecurities etc, but before she came over I was walking went to the candy store at this house up the street. I was listening to it. I think I played it like two or 3 times.",Stanhope I was outside with the St ja girl and we had this long ass good talk about just I guess our insecurities etc but before she came over I was walking went to the candy store at this house up the street I was listening to it I think I played it like two or 3 times
31,Candy_BSP_RCIC,@voiceof66216729 Please send email to info@heronlaw.ca,Please send email to info ca
32,pussyslayer314,"seeing old people on social media is crazy cause back in the day they didn’t even have touchscreens, the tv had an antenna, they witnessed historical events that shaped our country to what it is today, and now they just play candy crush",seeing old people on social media is crazy cause back in the day they didn t even have touchscreens the tv had an antenna they witnessed historical events that shaped our country to what it is today and now they just play candy crush
33,taekthsyndrome,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
34,ZorokiRed,Blooper using the Bowser Candy. https://t.co/FprgxNpz2X,Blooper using the Bowser Candy
35,kellytupi,It's #NationalCottonCandyDay &amp; what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy ‼️🍬RT this post🍬Tag 2 friends🍬Comment your favorite Cotton Candy GIFWinner will be announced 12/10 https://t.co/JsNHiEqJ5l,It s NationalCottonCandyDay amp what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy RT this post Tag 2 friends Comment your favorite Cotton Candy GIFWinner will be announced 12 10
36,babygiii,I'm now really crying for the Candy reply😭Miss mewgulf so so so so badly🥺Hope to see them soon🙏🏻#MewGulf#หวานใจมิวกลัฟ https://t.co/NvWtpgas0G,I m now really crying for the Candy reply Miss mewgulf so so so so badly Hope to see them soon MewGulf
37,SanthiyaSuresh7,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER
38,DanceMomsMusic,It's #NationalCottonCandyDay &amp; what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy ‼️🍬RT this post🍬Tag 2 friends🍬Comment your favorite Cotton Candy GIFWinner will be announced 12/10 https://t.co/JsNHiEqJ5l,It s NationalCottonCandyDay amp what better way to sweeten the day than WINNING shreds of Curveball Cotton Candy RT this post Tag 2 friends Comment your favorite Cotton Candy GIFWinner will be announced 12 10
39,itsericsanchez,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame
40,Jiniousjoon,"Story time:my baby is army confirmed.So. I woke up early today. And usually I a can feel my baby movements,but to day even after an hour of waking up I couldn't feel any movements, and I panicked. Drank some warm water..no use Ate some candy ..no use, walked,, nothing happened",Story time my baby is army confirmed So I woke up early today And usually I a can feel my baby movements but to day even after an hour of waking up I couldn t feel any movements and I panicked Drank some warm water no use Ate some candy no use walked nothing happened
41,bangtan_tram,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
42,Leona975,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame
43,tejranxfanboy,I'm cool with people dressing up as Eleven for Halloween. I definitely want to open my door and give them candy.TEJRAN SLAYING TOGETHER,I m cool with people dressing up as Eleven for Halloween I definitely want to open my door and give them candy TEJRAN SLAYING TOGETHER
44,taeorso,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
45,jeonkg_,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
46,paulh4224,"1/n Maturity of markets change. Make sure your filters do too. Overlook started off allergic to investing in China in the 80’s. They changed their mind in the 90’s when they found high quality (See’s candy-esque) businesses (Kingboard, Weigao). China is now 55% of AUM.",1 n Maturity of markets change Make sure your filters do too Overlook started off allergic to investing in China in the 80 s They changed their mind in the 90 s when they found high quality See s candy esque businesses Kingboard Weigao China is now 55 of AUM
47,TheCraggus,Day 8 of our #ElfMovie #AdventCalendar.Today’s piece: One third of a candy cane!#countdowntochristmas #buddytheelf https://t.co/86O9PoiXU6,Day 8 of our ElfMovie AdventCalendar Today s piece One third of a candy cane countdowntochristmas buddytheelf
48,buzzfeednifty,From sure-to-please things like candy and cozy robes to heart-tugging finds like personalized puzzles and relationship journals. https://t.co/qwJH5tGd1N,From sure to please things like candy and cozy robes to heart tugging finds like personalized puzzles and relationship journals
49,winterden_,winrina / jiminjeong one shot auCandy https://t.co/snrUWbyogm,winrina jiminjeong one shot auCandy
50,ckausalye,Gotra cannot be distributed as freely as candy. Bengali Brahmin surnames aren't your personal property.Swami Vivekananda mentions in the rules of RKM (which he framed) that Muslims and Christians shd be converted to Hinduism but immediate upanayan samskaras aren't required. https://t.co/zn1T2Fzweg https://t.co/Z3UPxT8TrB,Gotra cannot be distributed as freely as candy Bengali Brahmin surnames aren t your personal property Swami Vivekananda mentions in the rules of RKM which he framed that Muslims and Christians shd be converted to Hinduism but immediate upanayan samskaras aren t required
51,endless_ve,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
52,kjuri1111,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
53,kids_bored,Your Kids will love this great candy themed craft https://t.co/xOBoqu2TdM #playdough #candy #homecraft #home,Your Kids will love this great candy themed craft playdough candy homecraft home
54,Villaretauna,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
55,baekhyunn_candy,"Thanks to the bbhls ONLY to be always so reactive and organized, we can really count on them to defend Baekhyun",Thanks to the bbhls ONLY to be always so reactive and organized we can really count on them to defend Baekhyun
56,MnM_Candy,TRINITY 1ST FULL ALBUM - EP.01 BREATHLIFE AIN'T OVER | JACKIE - PHOTO CONCEPT #04OFFICIAL M/V RELEASE ON 9 DECEMBER 2021 | 7 PM  YOUTUBE : 4NOLOGUE#LifeAintOver_TEASER#TRINITY_EP01BREATH#TRINITY1stFullAlbum#TRINITY_TNT#4NOLOGUE https://t.co/Ic9Y1P0gPe,TRINITY 1ST FULL ALBUM EP 01 BREATHLIFE AIN T OVER JACKIE PHOTO CONCEPT 04OFFICIAL M V RELEASE ON 9 DECEMBER 2021 7 PM YOUTUBE 4NOLOGUE LifeAintOver TEASER TRINITY EP01BREATH TRINITY1stFullAlbum TRINITY TNT 4NOLOGUE
57,Preetty61483335,I Can Be Mean As Fuck. Sweet As Candy. Cold As Water. Evil As Hell Or Loyal As Shoulder. It All Depends On You.TEJRAN SLAYING TOGETHER,I Can Be Mean As Fuck Sweet As Candy Cold As Water Evil As Hell Or Loyal As Shoulder It All Depends On You TEJRAN SLAYING TOGETHER
58,koobaery,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
59,mac1ntosh420,hey? hey devsis? what the actual fuck. WHY DID YOU CHANGE STORY MODE IT WAS LITERALLY THE ONLY WAY TO GET SOME COOKIES CANDY INGREDIENTS. ?!?!? https://t.co/GyTopWG0ZO,hey hey devsis what the actual fuck WHY DID YOU CHANGE STORY MODE IT WAS LITERALLY THE ONLY WAY TO GET SOME COOKIES CANDY INGREDIENTS
60,BallyknockenHCS,"Later today on Instagram, our @Cfulvio will be sharing her recipe &amp; method for this festive Candy Cane Carprese Platter to share🎄🎄Check out her Instagram here: https://t.co/SJgDqAFyAI#catherineschristmasrecipes #candycanecarprese #carpreseplatter #mozzarella #tomato https://t.co/JyV1DES2ZT",Later today on Instagram our will be sharing her recipe amp method for this festive Candy Cane Carprese Platter to share Check out her Instagram here candycanecarprese carpreseplatter mozzarella tomato
61,Warpaint_Mag,"Salon System nail expert Julie-Anne Larivière, has created this Candy Cane nail design just in time for Christmas.https://t.co/fWD1Jgfxbd#warpaint_mag #WarpaintExtra #NailArt #StepByStep #Manicure #Gellux #SalonSystem #HomeManicure #christmas #ChristmasNails #NailArtistry https://t.co/o9iFU8xcVx",Salon System nail expert Julie Anne Larivi re has created this Candy Cane nail design just in time for Christmas WarpaintExtra NailArt StepByStep Manicure Gellux SalonSystem HomeManicure christmas ChristmasNails NailArtistry
62,deepspaceradio_,"Candy Store Original Mix Cajua, 100% Of Dissin U, Joint Movement Project - Find A Love -REMASTERED- BC Exclusive - 04 Find A Love (Spencer Kincy Tribute Mix).wav all coming up this hour on https://t.co/zxcC0yMFnd",Candy Store Original Mix Cajua 100 Of Dissin U Joint Movement Project Find A Love REMASTERED BC Exclusive 04 Find A Love Spencer Kincy Tribute Mix wav all coming up this hour on
63,wiseoeglife,The one where songhwa’s eyes gushed out candy hearts. 😍(also the one where i find out i’m in this for life. Oh this Canon ep 🥺❤️‍🔥) https://t.co/SDTKjJzd3H,The one where songhwa s eyes gushed out candy hearts also the one where i find out i m in this for life Oh this Canon ep
64,love4tomatoes,new seasonal items have been listed! 💕❄️look extra festive this christmas with candy canes on your ears and cookies on your head (´▽`ʃƪ)♡link to my shop is in my bio! 💓 https://t.co/WFwR0xYxx1,new seasonal items have been listed look extra festive this christmas with candy canes on your ears and cookies on your head link to my shop is in my bio
65,ggg17173,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
66,positivekirari,"Kirarin looooves all sweet things, like candy, cakes, and cookies..... and the sweetest of all, you~!",Kirarin looooves all sweet things like candy cakes and cookies and the sweetest of all you
67,candy_brides,New photos update https://t.co/3fqRERCbvs,New photos update
68,Lepub,"This Saturday, Clockwork Aeroplane, @oxbowlakemusic and Candy Mountain bring three boisterous sets of unique, original and acoustic music to our ears. £5 on the door. Don't miss it! 🎸👉 https://t.co/Rbjr4a48wG https://t.co/8iItWKwmK5",This Saturday Clockwork Aeroplane and Candy Mountain bring three boisterous sets of unique original and acoustic music to our ears 5 on the door Don t miss it
69,Vante_gukk,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
70,suhezzian,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
71,volspec,Elf &amp; Safety is extremely important for Viktor’s usual role in Candy Cane manufacturing.This week he has been assisting our qualified First Aiders in making sure our accident procedure and First Aid kits are ready in the unlikely event of an emergency. #ViktorTheVolspecElf https://t.co/Q0qyMj8ajb,Elf amp Safety is extremely important for Viktor s usual role in Candy Cane manufacturing This week he has been assisting our qualified First Aiders in making sure our accident procedure and First Aid kits are ready in the unlikely event of an emergency ViktorTheVolspecElf
72,KitsuragisBong,so far the past 2 days I havemissed yesterday's shiftwoke up latehave an overload of customersso many little things went wrong.almost freaked out w a party of 6 customerssame party wanted a bday thing for a member: we don't do that there.my dog ate a mini candy tonight,so far the past 2 days I havemissed yesterday s shiftwoke up latehave an overload of customersso many little things went wrong almost freaked out w a party of 6 customerssame party wanted a bday thing for a member we don t do that there my dog ate a mini candy tonight
73,StackbitG,"🎄It's beginning to look a lot like Christmas ❄️Everywhere you go⏳Take a look at the five and ten, it's glistening once again🍭With candy canes and silver lanes that glow #bombcrypto #BCOIN #BSC #GameFi #NFTGame https://t.co/LpzdghaZIk",It s beginning to look a lot like Christmas Everywhere you go Take a look at the five and ten it s glistening once again With candy canes and silver lanes that glow bombcrypto BCOIN BSC GameFi NFTGame
74,komali_kuncham,I Can Be Mean As Fuck. Sweet As Candy. Cold As Water. Evil As Hell Or Loyal As Shoulder. It All Depends On You.TEJRAN SLAYING TOGETHER,I Can Be Mean As Fuck Sweet As Candy Cold As Water Evil As Hell Or Loyal As Shoulder It All Depends On You TEJRAN SLAYING TOGETHER
75,noevistee,"Owen brought the candy apple to his lips as if to kiss it.Startled, Mithra’s breath caught in his throat.",Owen brought the candy apple to his lips as if to kiss it Startled Mithra s breath caught in his throat
76,ENOZI_ff,"Swedish Fish (Yes, The Candy) Is Simping For BTS’s Jinhttps://t.co/ZSh3CppOpW",Swedish Fish Yes The Candy Is Simping For BTS s
77,shalzpt,"""𝑫𝒂𝒚 3 """"𝑷𝒂𝒕𝒄𝒉𝒘𝒐𝒓𝒌""""Sweet like a candy 🍬🍭@Wharf_Ent @zepeto_official#WharfFashionChallenge #ZEPETO https://t.co/MQ6Li5gnuQ""",3 Sweet like a candy Ent official WharfFashionChallenge ZEPETO
78,iwaffleu,unbelievers is not a smut fic its about self acceptance and friendship and relationships and family issues and so much more but all yall talk abt is gold glitter and candy shop im so tired https://t.co/ufcsSZnbO0,unbelievers is not a smut fic its about self acceptance and friendship and relationships and family issues and so much more but all yall talk abt is gold glitter and candy shop im so tired
79,CaliCatWwoman,"""🆘CODE RED🆘TBD THU 12/9/21🆘💓HIDING, SCARED 2YO WHITE &amp; #TABBY KITTY """"CANDY""""💓😾💔DUMPED 4 BEING BULLIED BY OTHER CATS IN THE HOME🚨NEEDS #ADOPTION #RESCUE #FOSTER ASAP🚨🚨128966 https://t.co/R1ZFDA4OQr🙏🏽#ADOPT #PLEDGE #AdoptDontShop#BROOKLYN #NYCACC #CAT #CatsofTwitter https://t.co/Er6SQpY4O9""",CODE RED TBD THU 12 9 21 HIDING SCARED 2YO WHITE amp TABBY KITTY CANDY DUMPED 4 BEING BULLIED BY OTHER CATS IN THE HOME NEEDS ADOPTION RESCUE FOSTER ASAP 128966 PLEDGE AdoptDontShop BROOKLYN NYCACC CAT CatsofTwitter
80,rmvbroo,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
81,yourlovebangtan,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
82,LibertyAID1,"""🆘CODE RED🆘TBD THU 12/9/21🆘💓HIDING, SCARED 2YO WHITE &amp; #TABBY KITTY """"CANDY""""💓😾💔DUMPED 4 BEING BULLIED BY OTHER CATS IN THE HOME🚨NEEDS #ADOPTION #RESCUE #FOSTER ASAP🚨🚨128966 https://t.co/R1ZFDA4OQr🙏🏽#ADOPT #PLEDGE #AdoptDontShop#BROOKLYN #NYCACC #CAT #CatsofTwitter https://t.co/Er6SQpY4O9""",CODE RED TBD THU 12 9 21 HIDING SCARED 2YO WHITE amp TABBY KITTY CANDY DUMPED 4 BEING BULLIED BY OTHER CATS IN THE HOME NEEDS ADOPTION RESCUE FOSTER ASAP 128966 PLEDGE AdoptDontShop BROOKLYN NYCACC CAT CatsofTwitter
83,fukasenanairo,yfw when as long as oberon eye candy exists nothing else mattersthis is fgo zen,yfw when as long as oberon eye candy exists nothing else mattersthis is fgo zen
84,taellectual1,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
85,chichiii_7_4,these pictures screams sour candy mv* @blackpink https://t.co/wCKxrxSXC7,these pictures screams sour candy mv
86,KaranArmy18,I Can Be Mean As Fuck. Sweet As Candy. Cold As Water. Evil As Hell Or Loyal As Shoulder. It All Depends On You.TEJRAN SLAYING TOGETHER,I Can Be Mean As Fuck Sweet As Candy Cold As Water Evil As Hell Or Loyal As Shoulder It All Depends On You TEJRAN SLAYING TOGETHER
87,yoonminimoniot7,"#FBSPHGO #TWICE[Pre-order] [Restock]▪TWICE CANDY BONG Z - PHP 2550ORDER FORM: https://t.co/HVwUvRhano 💸 Pay half of the price as you order💸 Balance: December 30, 2021 💯 Official from Korea and Sealed💯 with freebies from our shop📌Normal ETA https://t.co/dDQO0ZQz2a",FBSPHGO TWICE Pre order Restock TWICE CANDY BONG Z PHP 2550ORDER FORM Pay half of the price as you order Balance December 30 2021 Official from Korea and Sealed with freebies from our shop Normal ETA
88,thiqtan,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
89,Trash_Candy,#Onmyoji I got a brand new rare skin! Check it out and try your luck!Lo primero es lo primero uwu https://t.co/ChJvAcmVc0,Onmyoji I got a brand new rare skin Check it out and try your luck Lo primero es lo primero uwu
90,Nice40bye,Do not forget to add sorrel gourmet compound in your baking list. To enjoy the smooth and intense flavour try it now..........https://t.co/ZOvZtX54cn#niceconfectionery #byebyebrand #candy #chocolate #lolipop #toffee  #chocolate #byebyebrand #chocolatelover #choco https://t.co/gTtW5TajHN,Do not forget to add sorrel gourmet compound in your baking list To enjoy the smooth and intense flavour try it now byebyebrand candy chocolate lolipop toffee chocolate byebyebrand chocolatelover choco
91,jjkgooogie,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
92,Candy__Spice,Night City #Cyberpunk2077 https://t.co/YSfDKYx4Em,Night City Cyberpunk2077
93,seonyondan13,Our lovely jubbly and his baby star candy vibing and dancing cutely 🥺https://t.co/y0gMdMZDQq,Our lovely jubbly and his baby star candy vibing and dancing cutely
94,splendidggukie,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
95,ca___aaa,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
96,milkygukkie,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
97,OuibusOrdinaire,Blooper using the Bowser Candy. https://t.co/FprgxNpz2X,Blooper using the Bowser Candy
98,OHMNNN9,ร้าน Sweet Day ขนมก็อร่อย และหนุ่มๆ ก็น่ารักDesserts from Sweet Day café are delish and the boys are eye candy too. 🍰🍪 SWEET DAY PIN | เข็มกลัด SWEET DAY https://t.co/tKmC7JUhmn#Bakerboys #GMMTV https://t.co/LdwaQnQPqc,Sweet Day Desserts from Sweet Day caf are delish and the boys are eye candy too SWEET DAY PIN SWEET DAY GMMTV
99,Tiya9597,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
100,trixie_yerro,taehyung: me                   with my                                   baby star candy https://t.co/iKmkYiYPlW,taehyung me with my baby star candy
101,tejranxfanboy,I Can Be Mean As Fuck. Sweet As Candy. Cold As Water. Evil As Hell Or Loyal As Shoulder. It All Depends On You.TEJRAN SLAYING TOGETHER,I Can Be Mean As Fuck Sweet As Candy Cold As Water Evil As Hell Or Loyal As Shoulder It All Depends On You TEJRAN SLAYING TOGETHER
102,nancypark07,I'm now really crying for the Candy reply😭Miss mewgulf so so so so badly🥺Hope to see them soon🙏🏻#MewGulf#หวานใจมิวกลัฟ https://t.co/NvWtpgas0G,I m now really crying for the Candy reply Miss mewgulf so so so so badly Hope to see them soon MewGulf
103,scheerenberger,"""Legalization = FAIL """"Our findings suggest that cannabis legalization is linked to increased exposures",Legalization FAIL Our findings suggest that cannabis legalization is linked to increased exposures
104,candy_clowns,Scared of Omicron? Have a listen to how they’re creating something out of nothing ⬇️Full video in next tweet. https://t.co/bENclBFJT0,Scared of Omicron Have a listen to how they re creating something out of nothing Full video in next tweet
105,Candy_Moon_017,Another win under the MCU belt! 🥇@LokiOfficial is #TheShow of 2021! #PCAs https://t.co/BhsDvqqdlx,Another win under the MCU belt is TheShow of 2021 PCAs
106,XenoGenders_,"&gt; dalgonagendera gender connected to the traditional korean candy dalgona . this gender could be connected to squid game , but doesn't have to becoined by gender-merchant on tumblr!!//#xenogender #xenogenders #xenictwt #MOGAI// https://t.co/zLqhUy5fOi",gt dalgonagendera gender connected to the traditional korean candy dalgona this gender could be connected to squid game but doesn t have to becoined by gender merchant on tumblr xenogender xenogenders xenictwt MOGAI
107,Stress_remover1,@pplR_fake Yr wo roi ki tarha jo candy hoti??? Jske packet me nakli note b dale hote??? Wo cotton candy usy kehte thy burhiya k bal,fake Yr wo roi ki tarha jo candy hoti Jske packet me nakli note b dale hote Wo cotton candy usy kehte thy burhiya k bal
108,DeosTomates,@DeosTomates a new tik tok candy i guess,a new tik tok candy i guess
109,hobson_mlati,"Candy Crush brings in a reported $633,000 a day in revenue",Candy Crush brings in a reported 633 000 a day in revenue
110,Guniorhier,@DeosTomates a new tik tok candy i guess,a new tik tok candy i guess
111,Candy_Moon_017,Holy crap https://t.co/eBOI2NC1fD,Holy crap
112,MINGINAKAMOTO,#JAEHYUN: she thinks she’s made of candy https://t.co/1d1eHBwH7x,JAEHYUN she thinks she s made of candy
113,Tej04638601,I Can Be Mean As Fuck. Sweet As Candy. Cold As Water. Evil As Hell Or Loyal As Shoulder. It All Depends On You.TEJRAN SLAYING TOGETHER,I Can Be Mean As Fuck Sweet As Candy Cold As Water Evil As Hell Or Loyal As Shoulder It All Depends On You TEJRAN SLAYING TOGETHER
114,byunger_12,""".@B_hundred_Hyun's """"Candy"""" ranks #1 on Deezer's Top South Korea chart. https://t.co/mKbhekRhzi""",hundred Hyun s Candy ranks 1 on Deezer s Top South Korea chart
115,Candy_cherriez,My drawing feels like a memory https://t.co/O20Ef2Tdpf,My drawing feels like a memory
