,tweet,tweetP,Category
14,Long-Covid support is available for clergy and their families. This help is offered in response to the emerging needs of people living with the condition. From physical and mental health through to financial and relationship support.How we can help: https://t.co/x8o1LOmVa9 https://t.co/Z8T1QFjnem,long covid support available clergy families help offered response emerging needs people living condition physical mental health financial relationship support help,positive
15,YG Entertainment has confirmed that Lisa is now free of COVID-19 and has come out of self-isolation! 🙏 @BLACKPINK https://t.co/rgMdgQrFZr,yg entertainment confirmed lisa free covid 19 come self isolation,positive
16,"@NoSpunZone @WSJ … we have no reason to believe he has Covid. If we did, he would stay home, like he would with any other sickness.",we reason believe covid would stay home like would sickness,neutral
17,@KeepItDownNews @suependergast @JamesMelville Correct! 15m jabs to freedomThen everyone over 70 jabbed for freedomThen everyone over 60 jabbed for freedom...Then everyone jabbed for freedom....Everyone boosted for freedom..Everyone with a covid pass for freedom....You get the picture,correct 15m jabs freedomthen everyone 70 jabbed freedomthen everyone 60 jabbed freedom everyone jabbed freedom everyone boosted freedom everyone covid pass freedom get picture,neutral
18,petition: Charge Trump with reckless endangerment for knowingly debating President Biden with COVID! https://t.co/RxbdSCj65e,petition charge trump reckless endangerment knowingly debating president biden covid,neutral
19,"This 26 year old Australian, identified as a 'contact' of a Covid case but never testing positive, was held at an internment camp outside Darwin without her consent for 14 days.There was no legal process or recourse.Come on liberals, where are you?https://t.co/LGo97NTTzo",this 26 year old australian identified contact covid case never testing positive held internment camp outside darwin without consent 14 days legal process recourse come liberals you,positive
20,9.After vaccination people endure weakened immune response for a period of up to 28 days and may be in danger of infection from Covid or other infectious agent at any time in that period. It therefore makes sense to examine infection date rather than date of death registration.,9 vaccination people endure weakened immune response period 28 days may danger infection covid infectious agent time period therefore makes sense examine infection date rather date death registration,neutral
21,Yey Lisa is now covid free!❤️🙏🏻I vote #MAMAVOTE #lisa,yey lisa covid free vote mamavote lisa,positive
22,I can’t fucking do this again. I can’t. It’s like hearing about each new COVID variant popping up https://t.co/rb8lTA3ULJ,i fucking like hearing new covid variant popping up,negative
23,04-Dec-2021Breakdown of #Sarawak new COVID-19 cases for today. https://t.co/g1B3gyWhxe,04 dec 2021breakdown sarawak new covid 19 cases today,positive
24,"Oh dear, fully jabbed account for 4 out of 5 covid deaths.Jibbie not working to well is it.https://t.co/JOrg5ahSX8",oh dear fully jabbed account 4 5 covid deaths jibbie working well it,neutral
25,Not to mention they’ve had to develop EW during covid and had a massive influx of new players. They can’t add new physical servers and did the best they could atm.,not mention develop ew covid massive influx new players add new physical servers best could atm,positive
26,Covid-19 pandemic leaves many South Africans poorer than last year as food prices continue to rise https://t.co/YdX4vUSvm8,covid 19 pandemic leaves many south africans poorer last year food prices continue rise,positive
27,"For those who haven’t caught up on SA covid situation, we’ve had a superspreader event at a high school reunion, infected 16 vaccinated adults. Easy to see how one superspreader spreads covid throughout city. There are exposure sites everywhere. Hundreds quarantining at Christmas",for caught sa covid situation superspreader event high school reunion infected 16 vaccinated adults easy see one superspreader spreads covid throughout city exposure sites everywhere hundreds quarantining christmas,positive
28,EUROPEAN UNION COMMISSION PRESIDENT URSULA VON DER LEYEN CALLS FOR IMPLEMENTATION OF FORCED COVID V... https://t.co/pQA2fIrsTT,european union commission president ursula von der leyen calls implementation forced covid v,negative
29,International Day of People with Disabilities should be used to recognise that people who live with disabilities are among the most affected populations amid the COVID pandemic. https://t.co/L5eoTFMEtJ https://t.co/dvyOQjkFzk,international day people disabilities used recognise people live disabilities among affected populations amid covid pandemic,positive
30,Vaccine inventor: 'Fundamentally evil' COVID policies harming childrenDr. Robert Malone tells WND the damage is 'deep and profound and will last for decades'https://t.co/CDoa3cS2c3,vaccine inventor fundamentally evil covid policies harming childrendr robert malone tells wnd damage deep profound last decades,negative
31,"“I have just been alerted to the Government’s new Myocarditis and pericarditis after Covid 19 vaccination: guidance for healthcare professionals, published four days ago on Monday. It makes chilling reading” 🫀https://t.co/8tQyPikoW1",i alerted government new myocarditis pericarditis covid 19 vaccination guidance healthcare professionals published four days ago monday makes chilling reading,negative
32,The next COVID variant will be called Communism.,the next covid variant called communism,neutral
33,"They partied as my mother lay dying, alone over Christmas, of Covid. We obeyed the rules and didn’t visit in order to ensure we didn’t spread the virus to others. https://t.co/PCnAOXUDdI",they partied mother lay dying alone christmas covid obeyed rules visit order ensure spread virus others,neutral
34,I can’t fucking do this again. I can’t. It’s like hearing about each new COVID variant popping up https://t.co/rb8lTA3ULJ,i fucking like hearing new covid variant popping up,negative
35,I can’t fucking do this again. I can’t. It’s like hearing about each new COVID variant popping up https://t.co/rb8lTA3ULJ,i fucking like hearing new covid variant popping up,negative
36,"While No10 partied, ‘Between 10 Dec until 4 Jan, I was on a Covid &amp; cancer ward, which had been reconfigured from a children’s ward. You can imagine how bleak it was, lying there overnight with children’s stencils on the walls, with men coughing &amp; dying’  https://t.co/JpHaj8vjwS",while no10 partied 10 dec 4 jan covid amp cancer ward reconfigured children ward imagine bleak lying overnight children stencils walls men coughing amp dying,negative
37,"“I have just been alerted to the Government’s new Myocarditis and pericarditis after Covid 19 vaccination: guidance for healthcare professionals, published four days ago on Monday. It makes chilling reading” 🫀https://t.co/8tQyPikoW1",i alerted government new myocarditis pericarditis covid 19 vaccination guidance healthcare professionals published four days ago monday makes chilling reading,negative
38,"Just to let you all know, I have spent a lot of time in COVID Courts in recent months. It’s mostly handing out fines (quiet significant ones) for breaking the rules in a much lesser way than alleged at Downing Street last Christmas. #downingstreetparty",just let know spent lot time covid courts recent months mostly handing fines quiet significant ones breaking rules much lesser way alleged downing street last christmas downingstreetparty,positive
39,Well our London Hospital is now on Major Discharge Emergency.Which means we sre preparing for a  mass discharge of patients to make room for an influx of CoVid patients.2 jabs isnt stopping this new variant from hospitalising people.,well london hospital major discharge emergency means sre preparing mass discharge patients make room influx covid patients 2 jabs isnt stopping new variant hospitalising people,positive
40,evil https://t.co/hlcYbFRzCR,evil,negative
41,"Depressed over COVID-19, doctor 'kills' wife, children and flees in UP's KanpurClick 👉 https://t.co/MIcGOriwZq https://t.co/E4gRBS88Xb",depressed covid 19 doctor kills wife children flees kanpurclick,neutral
42,04-Dec-2021#Sarawak reports 104 new COVID-19 cases today. https://t.co/gDY6jf18Ei,04 dec 2021 sarawak reports 104 new covid 19 cases today,positive
43,💉Walk-In COVID-19 Vaccine Booster Clinics🗓️ Today &amp; Sun🔵60-69 year-olds only🔵No appointment req'd🔵5 months/150 days should have passed since Dose 2 vaccine🔵60-69-year-olds who had the single-dose Janssen vaccine need to wait at least 3 months before attending. https://t.co/76UdUfbQi4,walk covid 19 vaccine booster clinics today amp sun 60 69 year olds appointment req 5 months 150 days passed since dose 2 vaccine 60 69 year olds single dose janssen vaccine need wait least 3 months attending,negative
44,From The Board of the Public Employees Benefits Program for the State of Nevada. Direct from the last board meeting minutes. Proof of more incentive on their part for vaccine compliance. 6.3 Covid Surcharges. The board sites Biden mandates which have been halted by court order. https://t.co/gardBin1FK,from board public employees benefits program state nevada direct last board meeting minutes proof incentive part vaccine compliance 6 3 covid surcharges board sites biden mandates halted court order,positive
45,"COVID-19 Delta Variant Still Dominant, Say Experts Urging Booster Shots https://t.co/7nTcklpiMD",covid 19 delta variant still dominant say experts urging booster shots,neutral
46,YG Entertainment announce LISA has fully recovered from Covid-19 &amp; is no longer in self-isolation!https://t.co/3LnBGShvMy,yg entertainment announce lisa fully recovered covid 19 amp longer self isolation,neutral
47,"This week, the United States partnered with @gavi #COVAX to deliver over 3.5 million COVID-19 vaccine doses to countries in Sub-Saharan Africa. https://t.co/mKaGtkeidW",this week united states partnered covax deliver 3 5 million covid 19 vaccine doses countries sub saharan africa,neutral
48,"Weekly French Covid ThreadA very worrying week. New cases jumped by 52% to 38,887 a day. The incidence rate for the 5th wave (366.8 cases/100,000 people/7 days) is now above the peaks of the 3rd and 4th waves in April/August. And Omicron has yet to arrive in big numbers… 1/10 https://t.co/GWxcSNgxaN",weekly french covid threada worrying week new cases jumped 52 38 887 day incidence rate 5th wave 366 8 cases 100 000 people 7 days peaks 3rd 4th waves april august omicron yet arrive big numbers 1 10,positive
49,Finally watching south park post Covid and just rolling laughing at how many times they trigger Alexa. Def wanted the 2nd call out to trigger haha🤣👏🏾🤣 #alexa #SouthPark #SouthParkPostCovid https://t.co/qVmQfIPOdg,finally watching south park post covid rolling laughing many times trigger alexa def wanted 2nd call trigger haha alexa southpark southparkpostcovid,positive
50,Australia is effectively operating concentration camps for Covid-positive people and police gets them there against their will while no western leader spesks out. The world is at a very dark path right now.,australia effectively operating concentration camps covid positive people police gets western leader spesks world dark path right now,positive
51,"Covid is a deadly pandemic. It killed science, logic, evidence-based medicine, and common sense ⚰️",covid deadly pandemic killed science logic evidence based medicine common sense,negative
52,"Our @DBE_SA Minister Motshekga is out and about this morning in the Sedibeng District where she is asking everybody to get vaccinated as part of the fight against COVID-19. The number of people testing positive is alarming, act now, don’t delay. Get the vaccine! https://t.co/PIJEukLS8k",our sa minister motshekga morning sedibeng district asking everybody get vaccinated part fight covid 19 number people testing positive alarming act delay get vaccine,positive
53,"COVID-19 Delta Variant Still Dominant, Say Experts Urging Booster Shots https://t.co/Dl1l6WKmyW",covid 19 delta variant still dominant say experts urging booster shots,neutral
54,"@cctv_idiots Amazing from Portugal, already jabbing dogs against Covid, some countries haven't managed 10% of hoomans 😁",idiots amazing portugal already jabbing dogs covid countries managed 10 hoomans,negative
55,@SeanMcGrady @SusanGroff1 @mattwridley I’d take my chances with Covid rather than have a booster if that is what the jabs did for you,i take chances covid rather booster jabs you,neutral
56,Covid Acts of Kindness Community Award winner MD Mominul Hamid is truly someone for the North East to celebrateCongrats @abirking2017!https://t.co/hGYyEm47I2,covid acts kindness community award winner md mominul hamid truly someone north east celebratecongrats,neutral
57,"Finally,None of this is particularly difficult. You are not being asked to fight in a war or send your kids away or ration food. Covid-19 is killing more people per month than WW2 did. Let’s pull together, protect each other, and by doing so allow us to remain free and healthy.",finally none particularly difficult asked fight war send kids away ration food covid 19 killing people per month ww2 let pull together protect allow us remain free healthy,positive
58,"The vast majority of socialists have supported all the moronic &amp; criminal covid restrictions, with their devastating impact on the world's poor, because they are sick totalitarians who crave control &amp; all their virtue-signalling about the poor is just dumb opportunist propaganda.",the vast majority socialists supported moronic amp criminal covid restrictions devastating impact world poor sick totalitarians crave control amp virtue signalling poor dumb opportunist propaganda,negative
59,#ODX   Health Secretary advises people to have Covid test before attending Christmas parties https://t.co/Woz9HPb4EI via @NewsNowUK,odx health secretary advises people covid test attending christmas parties via,neutral
60,"Hayley Hodgson, 26, has just been released from a 14-day detention at the Howard Springs quarantine facility in Australia.On today's UnHerdTV, she explains how police officers came to her home and took her away. Don't miss 👉  https://t.co/FK97QOkJ3E https://t.co/Kf7MzRrc67",hayley hodgson 26 released 14 day detention howard springs quarantine facility australia today unherdtv explains police officers came home took away miss,neutral
61,Irrational response to Covid in the West is ultimately underpinned by an inability to accept human mortality.I don't deny Covid is serious but the response hasn't been and to cover up the existential hysterical fear they drag 'science' in for veneer of respectibility.,irrational response covid west ultimately underpinned inability accept human mortality deny covid serious response cover existential hysterical fear drag science veneer respectibility,negative
62,Well our London Hospital is now on Major Discharge Emergency.Which means we sre preparing for a  mass discharge of patients to make room for an influx of CoVid patients.2 jabs isnt stopping this new variant from hospitalising people.,well london hospital major discharge emergency means sre preparing mass discharge patients make room influx covid patients 2 jabs isnt stopping new variant hospitalising people,positive
63,Good morning and welcome to what has been a real-life obsession for me for the past 3 months: The Magic Dirt MLM and the mudslinger who rallied new covid deniers and anti-vaxxers to buy in. https://t.co/LB7pm0u3ET,good morning welcome real life obsession for past 3 months magic dirt mlm mudslinger rallied new covid deniers anti vaxxers buy in,positive
64,"By aligning himself with @INCIndia,@ShashiTharoor ji demands from the Govt:1. To Release the correct number of deaths due to Covid.2. To Compensate all the families of Covid victims with ₹ 4 lakhs.#SpeakUpForCovidNyay https://t.co/32xRULeBDf",by aligning ji demands govt 1 release correct number deaths due covid 2 compensate families covid victims 4 lakhs speakupforcovidnyay,negative
65,#BREAKING: Georgia woman tests positive for omnicron variant: https://t.co/K1yG6RhVhq https://t.co/9NEWsLTm0u,breaking georgia woman tests positive omnicron variant,positive
66,"@BBCBreakfast Covid, Strictly and twee stories is all you do",covid strictly twee stories do,neutral
67,"FB. Those who knew Eddie, were blessed. Never missed my kids events, Christenings etc..Outstanding leader of men, and boxing coach. Greatly missed. I said at his (Covid restricted) funeral, some in here are alive, because Eddie quietly did his thing. RIP 🇬🇧 https://t.co/sVGSUJcEN2",fb knew eddie blessed never missed kids events christenings etc outstanding leader men boxing coach greatly missed said covid restricted funeral alive eddie quietly thing rip,positive
68,Three teenagers who tested NEGATIVE for covid escaped from Australian covid camp and were subsequently arrested.Why are NEGATIVE cases being forcibly quarantined in camps?  It started with 2 weeks to flatten a curve. ARE YPU PAYING ATTENTION YET??? https://t.co/GvQqiKkpMX,three teenagers tested negative covid escaped australian covid camp subsequently arrested negative cases forcibly quarantined camps started 2 weeks flatten curve ypu paying attention yet,negative
69,.@ygent_official has announced that #LISA has fully recovered from Covid-19 &amp; is no longer under  self-isolation ❤️✨ https://t.co/PtuI1uB6yJ,official announced lisa fully recovered covid 19 amp longer self isolation,neutral
70,How is this not breaking news everywhere? 1223 people died during 90 day trial of Pfizer covid vaccine! The rest of this report needs publishing now not waiting 55yrs! https://t.co/Lplxl5Wr8w,how breaking news everywhere 1223 people died 90 day trial pfizer covid vaccine rest report needs publishing waiting 55yrs,neutral
71,VIDEO: Party leader Paul Golding discusses Covid tyranny and the Britain First response! https://t.co/3A3FC2Eohn,video party leader paul golding discusses covid tyranny britain first response,positive
72,"REALLY DIFFICULT THINGS HUMANS HAVE DONEReached Australia 70,000 years agoThe pyramidsRoman roadsQuantum physicsWon WW2Landing on the moonModern medicineThe InternetQUITE EASY THINGS HUMANS CAN'T BE BOTHERED TO DO, BECAUSE MEH...Get on top of COVID",really difficult things humans donereached australia 70 000 years agothe pyramidsroman roadsquantum physicswon ww2landing moonmodern medicinethe internetquite easy things humans bothered meh get top covid,positive
73,"@Arete_Pigiron @MinihaneTim @ArtValley818_ Yes.   Go through telegram website download their app from there.  Once in search words of interest e.g, covid, vaccine, NWO etc.  add the channels of interest and start browsing.  Prepare to be shocked, the evidence you will see goes totally against MSM.  Stay safe",pigiron yes go telegram website download app search words interest e g covid vaccine nwo etc add channels interest start browsing prepare shocked evidence see goes totally msm stay safe,negative
74,Business is business...#COVID19 #COVID #PCR #Omicron #Foutagedegueule #Schnell #coronavirus https://t.co/1D8A9uR2be,business business covid19 covid pcr omicron foutagedegueule schnell coronavirus,neutral
75,"@ProfPCDoherty Can we all buy them though? Free in the US. Free in the UK. Only available to Australians able to pay $10-$15 per test, and then only if you can find them in stock. COVID-19 is increasingly a disease driven by health equity.",can buy though free us free uk available australians able pay 10 15 per test find stock covid 19 increasingly disease driven health equity,positive
76,Well our London Hospital is now on Major Discharge Emergency.Which means we sre preparing for a  mass discharge of patients to make room for an influx of CoVid patients.2 jabs isnt stopping this new variant from hospitalising people.,well london hospital major discharge emergency means sre preparing mass discharge patients make room influx covid patients 2 jabs isnt stopping new variant hospitalising people,positive
77,"""""""👇6 out of 7 or 86% of the people that """"""""died of COVID-19"""""""" yesterday in New South Wales""",6 7 86 people died covid 19 yesterday new south wales,positive
78,The cost of a COVID test is a human rights abuse.,the cost covid test human rights abuse,neutral
79,"""""""Dutch authorities say """"""""around 90%"""""""" of those that tested positive for COVID-19 were vaccinated. 100% who tested + for Omicron had taken the shots. https://t.co/miUKMRUCaN""""""",dutch authorities say around 90 tested positive covid 19 vaccinated 100 tested omicron taken shots,positive
80,@AmmoniteElectr1 @bridgetCraig17 @sajidjavid He'd then have to do something about improving the NHS and the government response to covid and that wouldn't be in his or his pals financial best interests.,he something improving nhs government response covid his pals financial best interests,positive
81,@alf_love47 It wasn't covid.,love47 covid,neutral
82,Learn with YES Pustak. Stay safe from COVID-19...#digitaleducation #education #elearning #onlinelearning #learning #digital #school #students #online #educationmatters #edtech #onlineeducation #learningneverstops #educationispower #elearningdevelopment #digitalrevolution https://t.co/vA5THhTDIC,learn yes pustak stay safe covid 19 digitaleducation education elearning onlinelearning learning digital school students online educationmatters edtech onlineeducation learningneverstops educationispower elearningdevelopment digitalrevolution,positive
83,Visit Santa online https://t.co/KzKdgxj96T COVID safe start to Christmas. All proceeds to @EastAngliAirAmb #Christmas2021 #santa,visit santa online covid safe start christmas proceeds christmas2021 santa,positive
84,"#LISA is now cured of Covid 19 &amp; has now come out of social isolation, according to YG Entertainment!https://t.co/bwhlIN1bAH https://t.co/vtMs4IkBqC",lisa cured covid 19 amp come social isolation according yg entertainment,positive
85,ok apparemment mon grand pere a le covid...,ok apparemment mon grand pere le covid,positive
86,"Didn't they celebrate 100crore doses?The cumulative COVID-19 vaccine doses administered in the country crossed 92.60crore on Wednesday, the Union Health Ministry said.https://t.co/nLgkH3y70Y",didn celebrate 100crore doses cumulative covid 19 vaccine doses administered country crossed 92 60crore wednesday union health ministry said,neutral
87,"Act now against Omicron to stop new Covid wave, UK ministers warned https://t.co/FYzcctMQUc Will #KillerClownJohnson UTurn on Working from Home . #JohnsonLiedPeopleDied @UKActionteam @DmodosCutter @SafeEdForAll_UK @hivetosurvive @EveryDoctorUK #asthmaticsatrisk",act omicron stop new covid wave uk ministers warned killerclownjohnson uturn working home johnsonliedpeopledied uk asthmaticsatrisk,positive
88,BREAKING: Northern California town declares itself a ‘constitutional republic’ and will oppose state and federal COVID orders it deems to be unconstitutional https://t.co/3COUS6NPnN,breaking northern california town declares constitutional republic oppose state federal covid orders deems unconstitutional,neutral
89,Foreign fraudsters—including dangerous crime syndicates linked to kleptocratic regimes—stole hundreds of billions of dollars in unemployment benefits intended for struggling Americans.We cannot let them get away with it.My first for ⁦@nypost⁩! https://t.co/LstzQE3a39,foreign fraudsters including dangerous crime syndicates linked kleptocratic regimes stole hundreds billions dollars unemployment benefits intended struggling americans cannot let get away first for,negative
90,"While No10 partied, ‘Between 10 Dec until 4 Jan, I was on a Covid &amp; cancer ward, which had been reconfigured from a children’s ward. You can imagine how bleak it was, lying there overnight with children’s stencils on the walls, with men coughing &amp; dying’  https://t.co/JpHaj8vjwS",while no10 partied 10 dec 4 jan covid amp cancer ward reconfigured children ward imagine bleak lying overnight children stencils walls men coughing amp dying,negative
91,Fauci says booster shots likely give cross protection against ‘wide range’ of Covid variants https://t.co/WCAcPR3cTp,fauci says booster shots likely give cross protection wide range covid variants,negative
92,YG Announces #BLACKPINK's #Lisa Has Recovered From COVID-19 + Is Released From Self-Quarantinehttps://t.co/NpqHx3bnpg https://t.co/FpCDfJuAsk,yg announces blackpink lisa recovered covid 19 released self,neutral
93,@snookerbacker @wildey_1 @PopcornBambino @FoieGrasCake And far fewer people are vaccinated against flu than COVID.,1 far fewer people vaccinated flu covid,positive
94,@CityNewsVAN Concerns over dear covid? https://t.co/wkzVzll2L8,concerns dear covid,neutral
95,"Recovery from #COVID-19 should tackle injustice &amp; discrimination &amp; expand access to technology, said @antonioguterres on International Day of Persons with Disabilities. Around 46% of people aged 60 years and over have disabilities. https://t.co/vYwt1v506B",recovery covid 19 tackle injustice amp discrimination amp expand access technology said international day persons disabilities around 46 people aged 60 years disabilities,negative
96,YG Announces #BLACKPINK's #Lisa Has Recovered From COVID-19 + Is Released From Self-Quarantinehttps://t.co/NpqHx3bnpg https://t.co/FpCDfJuAsk,yg announces blackpink lisa recovered covid 19 released self,neutral
97,@vigcit99 I really wonder why so many people are scared of getting covid.I believe they are also scared of seasonal flu.,i really wonder many people scared getting covid believe also scared seasonal flu,positive
98,"There are more unknowns than knowns in this virus story, says Dr. Sadik Kodakat, Chairman of @starcareoman   Hospital at the #TASCEOConclave, as he talks about the #Omicron COVID-19 variant. Watch the video here ; https://t.co/Omrc8CSuaL",there unknowns knowns virus story says dr sadik kodakat chairman hospital tasceoconclave talks omicron covid 19 variant watch video here,neutral
99,How someone first encounters Covid ‘shapes their future immune response’ https://t.co/2QZBlWWISI,how someone first encounters covid shapes future immune response,positive
100,Billionaire Tory donor’s firm claimed millions in taxpayer-funded furlough cash – after making £75m profit | The Independent https://t.co/c9lHid8ERz,billionaire tory donor firm claimed millions taxpayer funded furlough cash making 75m profit independent,negative
101,"Modi have enough funds to construct a 'Palace' worth ₹20,000 crores for himself in the midst of the pandemic.But Modi doesn't have funds to provide compensation to Covid deceased victims family.Stop the damn hypocrisy, Modi Ji !!#SpeakUpForCovidNyayhttps://t.co/2xLaSarZPv",modi enough funds construct palace worth 20 000 crores midst pandemic modi funds provide compensation covid deceased victims family stop damn hypocrisy modi ji,positive
102,"Covid-19. Closed nightclubs, confinement ... What restrictions with our European neighbors? https://t.co/k90TkoMBmU via @ouestfrance",covid 19 closed nightclubs confinement restrictions european neighbors via,negative
103,Jamnagar man who returned from Zimbabwe found infected with Omicron variant of COVID-19: Gujarat health department,jamnagar man returned zimbabwe found infected omicron variant covid 19 gujarat health department,neutral
104,"The Central govt's priorities are pretty clear: PR over people. That is why it has sufficient funds for vanity projects, but not to compensate those families who lost their loved one to Covid. #SpeakUpForCovidNyay https://t.co/DvtjCk62Hq",the central govt priorities pretty clear pr people sufficient funds vanity projects compensate families lost loved one covid speakupforcovidnyay,positive
105,"@BailleMcCrate @marcus_flex I feel the same. It is your decision and has nothing to do with anyone. Vax or no vax should be your own private informed decision. My healthnut brother died unvaxed from COVID while my sickly older sister still got mild COVID after the vax, and survived.",flex feel decision nothing anyone vax vax private informed decision healthnut brother died unvaxed covid sickly older sister still got mild covid vax survived,positive
106,@brianRmaitland @tjpollen The vaccine 💉 https://t.co/byZlowqPDO,the vaccine,neutral
107,I DEMAND A NEW YEAR PARTY NEXT YEAR AFTER COVID 🔥GENTLE LOVE OF GULF#GulfHBDCon2021@gulfkanawut,i demand new year party next year covid gentle love gulf gulfhbdcon2021,positive
108,"Serious question, if I have the flu vaccine (which I’ve had many times), but not the Covid vaccine am I still considered anti-vaccine? But if I have the Covid vaccine but not the flu vaccine am I then pro vaccine?",serious question flu vaccine many times covid vaccine still considered anti vaccine covid vaccine flu vaccine pro vaccine,positive
109,"Omicron could exacerbate supply chain problems and boost inflation, but it could also depress demand and cause slower growth. https://t.co/sRyXyBILDX",omicron could exacerbate supply chain problems boost inflation could also depress demand cause slower growth,negative
110,"""""""Hundreds of Crores were collected in #PMCaresFraud in the name of """"""""Fighting Covid""""""""Where is this loot? Why is it not being used to compensate the crores of Indians who suffered due to the negligence of the govt? #SpeakUpforCovidNyay https://t.co/Cw0qt39Xkk""""""",hundreds crores collected pmcaresfraud name fighting covid loot used compensate crores indians suffered due negligence govt speakupforcovidnyay,negative
111,COVID Update: The anti-vaccine natural herd immunity-just go get COVID crowd has met their match … with reality. 1/,covid update anti vaccine natural herd immunity go get covid crowd met match reality 1,positive
112,"""""""How are we going to """"""""learn to live with Covid"""""""" if we panic and get hysterical with every single new variant that causes a bit of a cough and a runny nose?""""""",how going learn live covid panic get hysterical every single new variant causes bit cough runny nose,negative
113,@CrupiJoe Watch a bunch of numpty losers &amp; zero rhythm at that 🤣😆🤣🤣 covid should clean up 😁,watch bunch numpty losers amp zero rhythm covid clean up,positive
114,"Vooma Vaccination activities in full swing. Today we are in Sedibeng, starting at the Evaton Mall, where @DBE_SA Minister Motshekga is encouraging members of the public to get the jab. This happens as COVID-19 cases have risen above 16,000 in the last 24 hour reporting period. https://t.co/c1PnhBwByl",vooma vaccination activities full swing today sedibeng starting evaton mall sa minister motshekga encouraging members public get jab happens covid 19 cases risen 16 000 last 24 hour reporting period,positive
115,"While No10 partied, ‘Between 10 Dec until 4 Jan, I was on a Covid &amp; cancer ward, which had been reconfigured from a children’s ward. You can imagine how bleak it was, lying there overnight with children’s stencils on the walls, with men coughing &amp; dying’  https://t.co/JpHaj8vjwS",while no10 partied 10 dec 4 jan covid amp cancer ward reconfigured children ward imagine bleak lying overnight children stencils walls men coughing amp dying,negative
116,@POTUS A.) The jobs that got shut down are finally being allowed to open up again. Not an achievement.B.) Unemployment is down because you’re kicking people off who we’re on it because of COVID.C.) Jobs are opening up because people are quitting because they’re being forced to vaxx,a jobs got shut finally allowed open achievement b unemployment kicking people covid c jobs opening people quitting forced vaxx,negative
117,"To date, China has provided over 1.8 billion doses of COVID-19 vaccines to more than 120 countries and international organizations. China has delivered on its promise to make vaccines global public goods. https://t.co/SFtHsjfZGA https://t.co/2y5sirI2AC",to date china provided 1 8 billion doses covid 19 vaccines 120 countries international organizations china delivered promise make vaccines global public goods,neutral
118,BREAKING: @Ptbohealth becomes the first health unit in Ontario to acknowledge that COVID-19 transmission is predominantly airborne! https://t.co/TYoEN6pSNH,breaking becomes first health unit ontario acknowledge covid 19 transmission predominantly airborne,positive
